date,cnpj,nome,nav
2023-03-09,18.033.318/0001-34,SIROCCO FUNDO DE INVESTIMENTO MULTIMERCADO - CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR,439039.83
2023-03-09,18.033.335/0001-71,SAN GIORGIO 1 FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR,46214200.61
2023-03-09,18.033.364/0001-33,W&F FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR,22557543.52
2023-03-09,18.033.386/0001-01,DESTINO FI EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR,23211612.72
2018-11-07,18.033.401/0001-03,BRASIL PLURAL EQUITY HEDGE 30 BP FUNDO DE INVESTIMENTO EM COTAS DE FI MULTIMERCADO,0
2023-03-09,18.033.470/0001-17,SAFRA TOP MAX FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA LONGO PRAZO,414258658.18
2014-08-27,18.041.662/0001-75,,0
2015-07-15,18.041.692/0001-81,,0
2015-07-15,18.041.712/0001-14,,0
2014-05-09,18.041.729/0001-71,,0
2016-11-17,18.041.745/0001-64,FUNDO DE INVESTIMENTO EM AÇÕES LEME,356467.56
2016-06-27,18.041.766/0001-80,,0
2023-03-09,18.041.789/0001-94,FUNDO DE INVESTIMENTO MEL MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,14434323.87
2014-02-26,18.041.812/0001-40,,42780251.98
2023-03-09,18.041.841/0001-02,IBIUNA PREVIDÊNCIA MASTER FUNDO DE INVESTIMENTO MULTIMERCADO,3740545345.17
2023-03-09,18.041.877/0001-96,IBIUNA PREVIDÊNCIA ICATU FUNDOS DE INVESTIMENTO MULTIMERCADO,484889056.29
2017-03-09,18.048.590/0001-98,IGB-30 FUNDO DE INVESTIMENTO DE AÇÕES,0
2022-01-10,18.048.639/0001-02,MAUÁ INSTITUCIONAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,0
2023-03-08,18.051.454/0001-57,BOTAFOGO FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,4610489.02
2023-03-09,18.051.467/0001-26,GAP ABSOLUTO P FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,644744372.5
2021-08-17,18.052.115/0001-95,VIDEIRAS FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,0
2019-04-15,18.052.153/0001-48,,-147.84
2018-01-12,18.052.476/0001-31,LOG FUND YIELD 60 FIC FI RENDA FIXA CREDITO PRIVADO,0
2015-10-29,18.055.093/0001-17,,0
2016-02-15,18.055.158/0001-24,,0
2023-03-09,18.059.029/0001-04,BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA PGBL/VGBL F07,190670169.54
2020-03-11,18.059.034/0001-17,FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO GREEN GOLD,0
2016-03-10,18.059.041/0001-19,,0
2023-03-09,18.059.047/0001-96,BPC ALM CD FUNDO DE INVESTIMENTO RENDA FIXA,543721752.81
2023-03-09,18.059.052/0001-07,FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO PLYK,68337909.46
2023-03-09,18.059.066/0001-12,SHIVAYA FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR,44229656.78
2023-03-09,18.059.069/0001-56,FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO LIVEDO,9109793.91
2023-03-09,18.059.078/0001-47,FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO PILOT BLUE,39430176.05
2014-11-12,18.059.087/0001-38,,0
2022-03-07,18.059.356/0001-66,GERAÇÃO FUTURO PREVIDENCIÁRIO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,0
2023-03-09,18.060.364/0001-22,BB RENDA FIXA LONGO PRAZO CORPORATE BANCOS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,6776176103.44
2015-05-22,18.060.396/0001-28,,0
2023-03-09,18.060.403/0001-91,BOURBON HEDGE FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR,20179747.33
2023-03-09,18.060.438/0001-20,GREENWICH SELECT FIC FI MULTIMERCADO CRÉDITO PRIVADO,23419050.55
2015-06-26,18.060.444/0001-88,,0
2014-10-29,18.060.497/0001-07,,0
2020-01-29,18.060.507/0001-04,WATER LILY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO DE AÇÕES,0
2023-03-09,18.060.935/0001-29,SULAMÉRICA MIX 30 III FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,268789365.88
2019-11-13,18.060.946/0001-09,EDUVAL FI EM COTAS DE FI MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,0
2022-05-31,18.068.503/0001-64,EUREKA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO - CRÉDITO PRIVADO,0
2013-12-06,18.068.540/0001-72,,0
2013-10-10,18.068.562/0001-32,,0
2014-04-09,18.068.579/0001-90,,0
2014-06-06,18.069.602/0001-60,,0
2023-03-09,18.069.614/0001-95,MCA FI MULTIMERCADO CREDITO PRIVADO IE,70807081.2
2023-03-09,18.069.660/0001-94,DXA EXCELSIOR FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,3109510.15
2023-03-09,18.069.672/0001-19,OPPORTUNITY COPACABANA FUNDO DE INVESTIMENTO RENDA FIXA CURTO PRAZO,609203035.03
2015-01-02,18.073.263/0001-96,,0
2014-10-31,18.077.380/0001-28,,0
2015-07-16,18.078.321/0001-74,,0
2023-03-09,18.078.326/0001-05,FUNDO DE INVESTIMENTO EM COTAS DE FI INSTITUCIONAL SINAF MULTIMERCADO CREDITO PRIVADO,46901632.26
2015-12-11,18.078.327/0001-41,,0
2023-03-09,18.078.331/0001-00,LETRA 3 FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR,24397960.63
2020-03-23,18.078.430/0001-91,FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR KRE,54682054.35
2021-09-30,18.078.435/0001-14,FIQ DE FI MULTIMERCADO CRÉDITO PRIVADO SUMMIT - INVESTIMENTO NO EXTERIOR,0
2021-08-16,18.078.982/0001-08,VERDE AM ALL MUNDI ACOES GLOBAIS FI EM COTAS DE FUNDO DE INVESTIMENTO EM ACOES INVEST NO EXTERIOR,0
2017-08-23,18.078.989/0001-11,BRADESCO ANDES FUNDO DE INVESTIMENTO EM AÇÕES ? INVESTIMENTO NO EXTERIOR,0
2014-10-07,18.078.997/0001-68,,0
2016-10-31,18.079.014/0001-08,BRADESCO PRIME FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES ASSET EQUITIES,0
2014-10-07,18.079.023/0001-07,,0
2023-03-09,18.079.037/0001-12,BRADESCO PRIVATE FUND OF FUNDS EQUITIES FUNDO DE INVESTIMENTO EM COTAS DE FI EM AÇÕES,134480040.4
2015-08-11,18.079.051/0001-16,,0
2019-10-02,18.079.070/0001-42,BRADESCO FDO DE INVESTIMENTO EM COTA DE FDO DE INVESTIMENTO EM AÇÕES BDR NÍVEL I SPECIAL EQUITIES II,0
2023-03-09,18.079.081/0001-22,BRADESCO EUROPA FUNDO DE INVESTIMENTO AÇÕES - INVESTIMENTO NO EXTERIOR,27865081.77
2016-10-26,18.079.101/0001-65,BRADESCO FUNDO DE INVESTIMENTO MULTIMERCADO FRONTEIRA 3792,0
2023-03-09,18.079.255/0001-57,GREENWICH SPIDER FUNDO DE INVESTIMENTO EM AÇÕES,15952825.38
2023-03-09,18.079.265/0001-92,GREENWICH CAPITAL MARKETS FIC DE FI MULTIMERCADO CRÉDITO PRIVADO,35405546.48
2017-12-19,18.079.334/0001-68,,0
2016-10-25,18.079.349/0001-26,BRADESCO INSTITUCIONAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVEST EM AÇÕES ASSET EQUITIES,6734029.77
2016-04-01,18.079.370/0001-21,BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA INCOME II,0
2023-03-09,18.079.388/0001-23,BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO BANCOS,3590807563.32
2016-10-26,18.079.398/0001-69,BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO MEDITERRÂNEO,0
2023-03-09,18.079.414/0001-13,BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO INFRAESTRUTURA INCENTIVADO,82371008.07
2023-03-09,18.079.425/0001-01,BRADESCO FDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO RUARI II,38134134.82
2023-03-09,18.079.446/0001-19,BRADESCO FUNDO DE INVESTIMENTO MULTIMERCADO CAPOF AZULEJOS,230040290.81
2014-02-04,18.079.455/0001-00,,0
2023-03-09,18.079.540/0001-78,BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO S&P 500 MAIS,168286464.43
2016-04-12,18.079.548/0001-34,,0
2023-03-09,18.081.030/0001-35,BRADESCO FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR CH,221429562.17
2017-10-02,18.081.051/0001-50,BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA ULTRA I B II,0
2017-10-05,18.081.063/0001-85,BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA ULTRA I B III,0
2017-11-03,18.081.074/0001-65,BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA ULTRA I B IV,0
2018-01-22,18.081.084/0001-09,BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA ULTRA I B V,0
2018-01-02,18.081.097/0001-70,BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO AÇU,0
2023-03-09,18.081.107/0001-77,ROSENBERG FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,42149617.7
2015-12-21,18.081.122/0001-15,BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA MEGA IV C I,0
2015-12-21,18.081.129/0001-37,BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA MEGA IV C II,0
2023-03-09,18.081.140/0001-05,BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA MEGA XXXV DPV V,350904453.68
2023-03-09,18.081.153/0001-76,BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA MEGA XXXV DPV IV,283778482.71
2019-08-26,18.081.165/0001-09,,0
2023-03-09,18.081.173/0001-47,BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA MEGA XXXV DPV VI,352659824.99
2019-08-20,18.081.181/0001-93,,0
2015-05-26,18.081.188/0001-05,,0
2014-10-01,18.081.200/0001-81,,0
2015-07-31,18.081.215/0001-40,,0
2017-08-08,18.081.227/0001-74,FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO TULIPA,0
2016-12-23,18.081.236/0001-65,FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO JATOBÁ,0
2023-03-09,18.083.593/0001-62,BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA CRÉD PRIVADO CARNAÚBA,4498636808.86
2016-12-30,18.083.637/0001-54,BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA MEGA IV J II,0
2016-12-13,18.083.653/0001-47,BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA MEGA IV J III,0
2014-09-03,18.083.991/0001-89,,0
2014-09-03,18.084.065/0001-28,,0
2014-09-03,18.084.078/0001-05,,0
2016-12-06,18.084.097/0001-23,BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA MEGA IV J I,0
2015-10-08,18.084.204/0001-13,,23541375.68
2022-04-29,18.084.218/0001-37,BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FI MULTIMERCADO CRÉDITO PRIVADO IE WWWY,0
2014-06-26,18.085.684/0001-37,,0
2017-02-09,18.085.788/0001-41,APEX INFINITY LBS8 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO DE AÇÕES,0
2018-11-14,18.085.842/0001-59,,0
2018-01-24,18.085.846/0001-37,,0
2016-05-04,18.085.851/0001-40,,0
2023-03-09,18.085.858/0001-61,BRADESCO AUSTRALASIA EX-JAPÃO FUNDO DE INVESTIMENTO EM AÇÕES INVESTIMENTO NO EXTERIOR,57468298.14
2017-08-04,18.085.863/0001-74,FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO IOLITE,0
2016-05-02,18.085.870/0001-76,,0
2023-03-09,18.085.872/0001-65,TWINSK FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR,991182544.28
2023-03-09,18.085.876/0001-43,BRAM INSTITUCIONAL FUNDO DE INVESTIMENTO RENDA FIXA IRF-M,385849507.06
2018-02-19,18.085.879/0001-87,FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO MINA DE AÇO,0
2017-10-31,18.085.883/0001-45,BRADESCO FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR MARINGÁ,0
2023-03-09,18.085.885/0001-34,BRAM FUNDO DE INVESTIMENTO RENDA FIXA IMA-B 5+,315695355.16
2023-03-09,18.085.891/0001-91,BRAM FUNDO DE INVESTIMENTO RENDA FIXA IMA-B TÍTULOS PÚBLICOS,470204603.5
2023-03-09,18.085.913/0001-13,BRAM FUNDO DE INVESTIMENTO RENDA FIXA IMA-B,1295907678.13
2014-12-10,18.085.918/0001-46,,1008607325.48
2021-06-29,18.085.922/0001-04,BRADESCO FUNDO DE INVESTIMENTO EM AÇÕES SMALL CAP SML 7,0
2023-03-09,18.085.924/0001-01,BRADESCO GLOBAL FUNDO DE INVESTIMENTO  EM AÇÕES INVESTIMENTO NO EXTERIOR,404673958.03
2023-03-09,18.085.926/0001-92,FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO GUAIÇARA,424391438.1
2016-09-09,18.085.929/0001-26,BRADESCO PRIVATE FUNDO DE INVESTIMENTO EM AÇÕES MAX DIVIDENDOS,28218354.64
2022-06-27,18.085.934/0001-39,BRAM FUNDO DE INVESTIMENTO RENDA FIXA RB CYAM,0
2023-03-09,18.085.937/0001-72,BRADESCO FUNDO DE INVESTIMENTO MULTIMERCADO MÁSTER PREVIDÊNCIA,336184233.2
2019-08-13,18.085.941/0001-30,FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO M PARENTE,0
2023-03-09,18.085.943/0001-20,FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO DELOITTE,315122552.27
2023-03-09,18.086.741/0001-00,FUNDO DE INVESTIMENTO MULTIMERCADO PEDRA REDONDA INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO,357165265.58
2015-01-07,18.086.745/0001-80,,0
2023-03-09,18.086.757/0001-05,SOTUG FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,10700395.09
2018-02-21,18.086.759/0001-02,ICATU SEG JUROS E MOEDAS FUNDO DE INVESTIMENTO MULTIMERCADO,0
2023-03-09,18.086.821/0001-58,FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO HIGH LEVEL - INVESTIMENTO NO EXTERIOR,22101838.56
2014-11-25,18.086.824/0001-91,,0
2016-07-28,18.086.831/0001-93,,0
2017-08-22,18.093.759/0001-21,VISIA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,0
2017-01-16,18.093.761/0001-09,,0
2014-04-15,18.093.771/0001-36,,0
2023-03-09,18.093.778/0001-58,PRASS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,85324265.26
2015-04-14,18.093.814/0001-83,,0
2023-03-09,18.096.027/0001-95,SPX RAPTOR ONE INVESTIMENTO NO EXTERIOR FIC FI MULTIMERCADO CRÉDITO PRIVADO,319384336.52
2016-08-25,18.096.036/0001-86,,0
2018-05-07,18.098.502/0001-62,BNB ALOCAÇÃO FUNDO DE INVESTIMENTO AÇÕES,0
2019-04-09,18.138.695/0001-38,CDD FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,7420350.9
2016-09-30,18.138.728/0001-40,BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO LALIM,0
2015-12-02,18.138.737/0001-30,,0
2023-03-09,18.138.741/0001-07,,140481274.52
2023-03-09,18.138.748/0001-10,KINEA PREV MULTIMERCADO FUNDO DE INVESTIMENTO MULTIMERCADO,1375593097.14
2023-03-09,18.138.758/0001-56,KINEA MULTI ESTRATEGIA MULTIMERCADO INVESTIMENTO NO EXTERIOR - FUNDO DE INVESTIMENTO,1285291229.07
2023-03-09,18.138.767/0001-47,TELOS RENDA FIXA MEDIO RISCO FUNDO DE INVESTIMENTO,379831649.84
2013-11-08,18.138.771/0001-05,,0
2023-03-09,18.138.778/0001-27,ICATU VANGUARDA ENERPREV FUNDO DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO LONGO PRAZO,215127474.6
2014-09-24,18.138.832/0001-34,,0
2023-03-09,18.138.837/0001-67,ITAÚ DUNAMIS MASTER FUNDO DE INVESTIMENTO EM AÇÕES,1992480292.42
2015-01-02,18.138.841/0001-25,,0
2016-11-11,18.138.853/0001-50,,0
2023-03-09,18.138.857/0001-38,ITAÚ MULTIMERCADO ESTRATÉGIA S&P500® US FUNDO DE INVESTIMENTO,680244200.48
2023-03-09,18.138.886/0001-08,ITAÚ MULTIMERCADO S&P500® USD FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,130963930.42
2023-03-09,18.138.892/0001-57,BÁLTICO PREVIDENCIÁRIO MULTIMERCADO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,333379870.77
2014-10-29,18.138.894/0001-46,,0
2018-07-27,18.138.900/0001-65,,0
2023-03-09,18.138.904/0001-43,DIAMOND 2 MULTIMERCADO CRÉDITO PRIVADO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,2527505158.98
2017-05-22,18.138.906/0001-32,,0
2023-03-09,18.138.908/0001-21,ITAÚ IBOVESPA ATIVO MASTER FUNDO DE INVESTIMENTO EM AÇÕES,197358918.48
2023-03-09,18.138.913/0001-34,ITAÚ VÉRTICE COMPROMISSO RENDA FIXA REFERENCIADO DI FUNDO DE INVESTIMEN EM COTAS DE FUNDOS DE INVEST,671670720.01
2023-03-09,18.138.920/0001-36,ITAÚ CYAMPREV CONSERVADOR MULTIMERCADO CRÉDITO PRIVADO FUNDO DE INVESTIMENTO,148664392
2023-03-09,18.138.944/0001-95,ITAÚ RENDA FIXA REFERENCIADO DI EVOLUÇÃO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,13329067.7
2016-06-17,18.138.998/0001-50,MAYA FUNDO DE INVESTIMENTO MULTIMERCADO - CREDITO PRIVADO INVESTIMENTO NO EXTERIOR,0
2023-03-09,18.139.002/0001-21,SOBERANO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR,60839491.4
2017-08-23,18.139.005/0001-65,CAMOCIM FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO - CREDITO PRIVADO,0
2019-12-13,18.139.010/0001-78,SKOPOS VIX FUNDO DE INVESTIMENTO MULTIMERCADO,0
2016-06-17,18.141.579/0001-78,,0
2014-08-14,18.141.586/0001-70,,0
2023-03-09,18.141.587/0001-14,G5 GENESIS FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR,17735946.28
2023-03-09,18.149.444/0001-59,FICFI MULTIMERCADO TRIPOLI - INVESTIMENTO NO EXTERIOR,53415272.94
2023-03-09,18.149.466/0001-19,FUNDO DE INVESTIMENTO EM AÇÕES ASPEN - INVESTIMENTO NO EXTERIOR,1312314443.83
2013-07-10,18.150.812/0001-89,,0
2023-03-09,18.150.820/0001-25,BB MATA AZUL FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO,20693178.14
2015-08-18,18.151.481/0001-00,,0
2013-07-15,18.151.572/0001-37,,0
2015-05-18,18.151.592/0001-08,,0.01
2023-03-09,18.151.682/0001-07,,36222231.81
2017-06-29,18.151.865/0001-14,BNB MASTER 100 FUNDO DE INVESTIMENTO RENDA FIXA CURTO PRAZO,0
2014-11-11,18.153.853/0001-29,,0
2016-11-07,18.154.016/0001-14,,0
2023-03-09,18.154.041/0001-06,FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO ATHENA,9995161.1
2023-03-09,18.154.763/0001-52,,1251657.13
2023-03-09,18.154.771/0001-07,CAPRI MULTIMERCADO FUNDO DE INVESTIMENTO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,35166062.46
2015-05-25,18.155.097/0001-77,,0
2015-07-31,18.158.480/0001-89,,0
2023-03-09,18.158.511/0001-00,CSHG AMANPURI FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO - CRED PRIV IE,279113042.89
2018-12-10,18.158.522/0001-81,PAREVIPE FIC DE FIM CREDITO PRIVADO IE,0
2016-10-28,18.158.531/0001-72,ASK ETS BEST OF BRAZIL FIC FI MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,0
2023-03-09,18.158.572/0001-69,SERRA LV FI MULTIMERCADO CREDITO PRIVADO IE,7085031.54
2017-12-28,18.158.597/0001-62,TI 59 FIC DE FIM CRÉDITO PRIVADO IE,0
2015-09-29,18.158.607/0001-60,,0
2015-01-29,18.158.614/0001-61,,0
2016-08-08,18.158.624/0001-05,ITAJURU FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO - INVESTIMENTO NO EXTERIOR,0
2015-01-07,18.158.632/0001-43,,0
2018-07-09,18.158.740/0001-16,CONSENSO P FIC DE FIM CREDITO PRIVADO IE,0
2015-02-11,18.158.746/0001-93,,0
2023-03-09,18.158.796/0001-70,TI VRH FUNDO DE INVESTIMENTO MULTIMERCADO,30396646.47
2014-09-10,18.158.801/0001-45,,0
2014-09-15,18.158.818/0001-00,,17497245.86
2017-12-27,18.158.825/0001-02,,34735254.17
2023-03-09,18.158.834/0001-95,AQUAVIT FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,15039859.81
2020-03-24,18.158.842/0001-31,FÊNIX II - FI RENDA FIXA - CRÉDITO PRIVADO,0
2023-03-09,18.158.848/0001-09,KENYA MAIS FIM CREDITO PRIVADO IE,28485564.87
2019-10-01,18.159.030/0001-00,TFO CRÉDITO FUNDO DE INVESTIMENTO EM COTAS  FIM CREDITO  PRIVADO IE,0
2016-01-06,18.159.057/0001-01,,0
2019-04-12,18.159.072/0001-41,FIM CRÉDITO PRIVADO HSI HIGH YIELD I,0
2023-03-09,18.159.086/0001-65,CEOS FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,98657789.38
2023-03-09,18.159.094/0001-01,SARFIM FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,57492581.15
2018-01-03,18.159.102/0001-10,TI META FIC DE FIM CREDITO PRIVADO IE,0
2023-03-09,18.159.107/0001-42,TI NORTE FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,31119569.71
2023-03-09,18.159.112/0001-55,RBC FUNDO DE INVESTIMENTO EM AÇÕES INVESTIMENTO NO EXTERIOR,1894521.91
2019-09-13,18.159.115/0001-99,ANGRA PARTNERS VOLT FUNDO DE INVESTIMENTO EM AÇÕES,0
2015-05-26,18.160.335/0001-32,,0
2015-03-02,18.160.493/0001-92,,0
2016-05-06,18.160.498/0001-15,,0
2023-03-09,18.160.503/0001-90,GUAXE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM ACOES,488431149.83
2021-10-13,18.160.512/0001-80,PORTO SEGURO PREVIDÊNCIA PRIVADA MULTIMERCADO CONSERVADOR II FICFI,0
2023-03-09,18.160.517/0001-03,,112312381.75
2017-01-26,18.160.521/0001-71,PORTO SEGURO ALOCAÇÃO AÇÕES FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,0
2015-06-26,18.160.528/0001-93,,1731861.16
2023-03-09,18.160.533/0001-04,PORTO SEGURO RENDA FIXA RUBI PLUS FUNDO DE INVESTIMENTO EM COTAS FUNDOS INVESTIMENTO PREVIDENCIÁRIO,165876853.4
2017-06-29,18.160.534/0001-40,,0
2023-03-09,18.160.544/0001-86,PORTO SEGURO MULTIMERCADO DIAMANTE FUNDO DE INVESTIMENTO EM COTAS FUNDOS INVESTIMENTO PREVIDENCIÁRIO,122000801.28
2023-03-09,18.160.545/0001-20,PORTO SEGURO RENDA FIXA RUBI FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO PREVIDENCIARIO,31356730.83
2023-03-09,18.160.553/0001-77,DRC MULTIMERCADO FUNDO DE INVESTIMENTO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,28789250.64
2016-08-05,18.160.560/0001-79,,7180723.51
2016-01-04,18.160.565/0001-00,,0
2015-01-06,18.160.567/0001-90,,0
2020-01-06,18.168.445/0001-40,EDAS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,0
2023-03-09,18.168.449/0001-29,GS FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,166581085.46
